country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
SDN,Sudan,Atbara,WRI1023168,15.1,17.7,34.0,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1023372,,,,,,,,,,,,,,48.9,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,El Jaili,WRI1023169,319.0,16.12,32.692,Gas,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,,,,,,,,,,,,,,,0.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,El Obeid,WRI1023170,14.3,13.1833,30.2167,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1023371,,,,,,,,,,,,,,46.31,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,Jebel Aulia Dam,WRI1023167,15.2,15.2396,32.4649,Hydro,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1052851,,,,,,,,,,,,,,73.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,Jebel Aulia Dam,WRI1023171,15.2,15.2381,32.4857,Hydro,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,,,,,,,,,,,,,,,73.68,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,Kenana,WRI1023172,50.0,14.0333,33.1667,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,,,,,,,,,,,,,,,161.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,Khartoum North,WRI1023173,351.0,15.65,32.563,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,,,,,,,,,,,,,,,1136.7,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,Khasm El Girba,WRI1023174,11.01,14.9222,35.9083,Hydro,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1023377,,,,,,,,,,53.52,47.82,53.91,53.67,53.52,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
SDN,Sudan,Kilo-X Dit,WRI1023175,260.0,15.5881,32.5342,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,1053103,,,,,,,,,,,,,,842.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
SDN,Sudan,Kilo-X Nec,WRI1023176,33.5,15.6482,32.563,Oil,,,,,,African Development Bank Group,http://powerafrica.opendataforafrica.org,Power Africa,,,,,,,,,,,,,,,108.48,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
