Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,191.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2015,926.25,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,319.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,2195.99,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,56.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2015,11.14,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,191.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2016,926.25,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,319.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,2195.99,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,56.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2016,12.32,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,191.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2017,926.25,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,319.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,2195.99,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,56.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2017,12.58,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,191.0,Estimated Installed Capacity (MW)
Oil Fired Gas Turbine (SCGT),2018,926.25,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,319.0,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,2195.99,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,56.0,Estimated Installed Capacity (MW)
Off-grid Solar PV,2018,12.58,Estimated Installed Capacity (MW)
