lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
SDN0PWRBIO001,SDN,PWRBIO001,0,Capacity Scaler,30.0,2001,0.065
SDN1PWRBIO001,SDN,PWRBIO001,1,MelutSugarFac17510,30.0,2001,0.026
SDN2PWRBIO001,SDN,PWRBIO001,2,WhiteNileStat17517,30.0,2001,0.1
SDN0PWRNGS001,SDN,PWRNGS001,0,ElJaili17500,30.0,1994,0.319
SDN0PWRHYD001,SDN,PWRHYD001,0,Capacity Scaler,80.0,1974,0.70999
SDN0PWRHYD002,SDN,PWRHYD002,0,JebelAuliaDam17502,80.0,1974,0.015
SDN1PWRHYD002,SDN,PWRHYD002,1,JebelAuliaDam17503,80.0,1974,0.015
SDN2PWRHYD002,SDN,PWRHYD002,2,KhasmElGirba17506,80.0,1974,0.011
SDN1PWRHYD001,SDN,PWRHYD001,1,Merowe17511,80.0,1974,1.252
SDN2PWRHYD001,SDN,PWRHYD001,2,Roseires17515,80.0,1974,0.234
SDN3PWRHYD002,SDN,PWRHYD002,3,Sennar17516,80.0,1974,0.015
SDN0PWROHC002,SDN,PWROHC002,0,Atbara17499,30.0,1996,0.015
SDN1PWROHC002,SDN,PWROHC002,1,Capacity Scaler,30.0,1996,0.11125270740000001
SDN2PWROHC002,SDN,PWROHC002,2,ElObeid17501,30.0,1996,0.014
SDN3PWROHC002,SDN,PWROHC002,3,Kenana17504,30.0,1996,0.05
SDN4PWROHC002,SDN,PWROHC002,4,KhartoumNorth17505,30.0,1996,0.352
SDN5PWROHC002,SDN,PWROHC002,5,KiloXDit17507,30.0,1996,0.26
SDN6PWROHC002,SDN,PWROHC002,6,KiloXNec17508,30.0,1996,0.034
SDN7PWROHC002,SDN,PWROHC002,7,Kuku17509,30.0,1996,0.023
SDN8PWROHC002,SDN,PWROHC002,8,Nyala17512,30.0,1996,0.016
SDN9PWROHC002,SDN,PWROHC002,9,PortSudan17513,30.0,1996,0.038
SDN10PWROHC002,SDN,PWROHC002,10,Rahad17514,30.0,1996,0.013
