metric,value,unit,source_flag,coverage
gross_generation,16771,GWh,not_flagged,main_activity_and_autoproducers
gross_combustible,4842,GWh,not_flagged,main_activity_and_autoproducers
gross_hydro,11804,GWh,not_flagged,main_activity_and_autoproducers
gross_other,126,GWh,not_flagged,main_activity_and_autoproducers
plant_own_use,740,GWh,not_flagged,all_plants
net_generation,16031,GWh,not_flagged,main_activity_and_autoproducers
imports,882,GWh,not_flagged,national
exports,,GWh,not_available_or_not_applicable,national
losses,3652,GWh,not_flagged,transmission_distribution_including_nontechnical
consumption,13261,GWh,UNSD_estimate,national
industry_construction_consumption,1414,GWh,not_flagged,national
household_other_consumption,11847,GWh,UNSD_estimate,national
capacity_total,4209,MW,not_flagged,net_main_activity_and_autoproducers
capacity_combustible,2134,MW,not_flagged,net_main_activity_and_autoproducers
capacity_hydro,1885,MW,not_flagged,net_main_activity_and_autoproducers
capacity_other,190,MW,UNSD_estimate,net_main_activity_and_autoproducers
main_activity_capacity,3950,MW,not_flagged,net_main_activity_only
