name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,generation_mwh,capacity_factor_over_model_horizon
unserved_Dongola,Dongola,Slack,,165.7333905360424,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,165.7333905360424,0.0,0.0
unserved_Merowe,Merowe,Slack,,74.58002574121909,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,74.58002574121909,0.0,0.0
unserved_Atbara,Atbara,Slack,,281.7467639112721,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,281.7467639112721,0.0,0.0
unserved_PortSudan,PortSudan,Slack,,397.7601372865018,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,397.7601372865018,14280.000000000004,0.2136966277713635
unserved_Khartoum,Khartoum,Slack,,248.6000858040636,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,248.6000858040636,0.0,0.0
unserved_WadMedani,WadMedani,Slack,,132.58671242883392,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,132.58671242883392,5157.881433892507,0.23155921614860367
unserved_Kosti,Kosti,Slack,,215.45340769685512,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,215.45340769685512,6465.9428695401675,0.17863609393445729
unserved_Sennar,Sennar,Slack,,149.16005148243818,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,149.16005148243818,5162.921324210371,0.20603153621524153
unserved_Roseires,Roseires,Slack,,99.44003432162545,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,99.44003432162545,3653.1373145087973,0.2186731442286456
unserved_Gedaref,Gedaref,Slack,,223.74007722365727,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,223.74007722365727,7153.265685158314,0.19030547830326094
unserved_Kassala,Kassala,Slack,,165.7333905360424,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,165.7333905360424,6959.464902426971,0.24995196314988316
unserved_ElObeid,ElObeid,Slack,,74.58002574121909,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,74.58002574121909,3256.626470262881,0.2599178691339444
