name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,generation_mwh,capacity_factor_over_model_horizon
unserved_Dongola,Dongola,Slack,,132.58671242883392,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,132.58671242883392,0.0,0.0
unserved_Merowe,Merowe,Slack,,59.66402059297527,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,59.66402059297527,0.0,0.0
unserved_Atbara,Atbara,Slack,,225.39741112901768,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,225.39741112901768,0.0,0.0
unserved_PortSudan,PortSudan,Slack,,318.2081098292014,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,318.2081098292014,6006.547377658846,0.1123580986654956
unserved_Khartoum,Khartoum,Slack,,198.8800686432509,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,198.8800686432509,0.0,0.0
unserved_WadMedani,WadMedani,Slack,,106.06936994306714,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,106.06936994306714,0.0,0.0
unserved_Kosti,Kosti,Slack,,172.3627261574841,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,172.3627261574841,0.0,0.0
unserved_Sennar,Sennar,Slack,,119.32804118595054,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,119.32804118595054,0.0,0.0
unserved_Roseires,Roseires,Slack,,79.55202745730035,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,79.55202745730035,0.0,0.0
unserved_Gedaref,Gedaref,Slack,,178.9920617789258,0.0,False,0.0,inf,,0.0,1.0,,-inf,inf,0.0,1.0,unserved,10000.0,0.0,True,0,inf,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,1.0,1.0,1.0,178.9920617789258,0.0,0.0
