name,demand_mwh,unserved_mwh,unserved_fraction
Dongola,16800.0,0.0,0.0
Merowe,7560.000000000002,0.0,0.0
Atbara,28560.000000000004,0.0,0.0
PortSudan,40320.0,19320.000000000007,0.47916666666666685
Khartoum,25200.0,0.0,0.0
WadMedani,13440.0,1079.3975308438294,0.08031231628302302
Kosti,21840.000000000004,1520.602182910725,0.06962464207466688
Sennar,15120.000000000004,736.4813448501741,0.04870908365411203
Roseires,10080.0,661.3941890889636,0.06561450288580987
Gedaref,22680.0,2800.7128078502024,0.12348821904101422
Kassala,16800.0,3128.439589653074,0.18621664224125442
ElObeid,7560.000000000002,1002.2123548030443,0.13256777179934445
ElFasher,2520.0,2520.0,1.0
Nyala,1680.0,840.0000000000001,0.5000000000000001
ElGeneina,1344.0,504.00000000000017,0.3750000000000001
Kadugli,1008.0,336.0000000000001,0.3333333333333334
EnNahud,1008.0,302.4000000000001,0.3000000000000001
EdDaein,1008.0,378.0000000000001,0.3750000000000001
Zalingei,504.0,285.6,0.5666666666666668
